customer_id,customer_name,segment,country,city,state,postal_code,region,last_updated
C-1000,Mona Ortiz,Consumer,United States,Seattle,Washington,80239.0,West,2024-01-01
C-1001,Sam Ortiz,Home Office,United States,Columbus,Ohio,38140.0,Central,2024-01-01
C-1002,Noah Clark,Consumer,United States,Chicago,Illinois,41544.0,Central,2024-01-01
C-1003,Noah Ortiz,Home Office,United States,Houston,Texas,26226.0,Central,2024-01-01
C-1004,Sam Okafor,Corporate,United States,New York City,New York,16499.0,East,2024-01-01
C-1005,Rosa Popov,Corporate,United States,New York City,New York,64937.0,East,2024-01-01
C-1006,Sam Farouk,Home Office,United States,New York City,New York,99391.0,East,2024-01-01
C-1007,Sam Okafor,Home Office,United States,New York City,New York,34624.0,East,2024-01-01
C-1008,Rosa Reyes,Home Office,United States,Oakland,California,17812.0,West,2024-01-01
C-1009,Vera Diaz,Corporate,United States,Newark,New Jersey,51175.0,East,2024-01-01
C-1010,Liam Farouk,Consumer,United States,Henderson,Kentucky,33562.0,South,2024-01-01
C-1011,Sam Farouk,Home Office,United States,New York City,New York,74895.0,East,2024-01-01
C-1012,Jamal Lindqvist,Consumer,United States,Reno,Nevada,25475.0,West,2024-01-01
C-1013,Yusuf Novak,Consumer,United States,Atlanta,Georgia,74089.0,South,2024-01-01
C-1014,Vera Reyes,Home Office,United States,Tampa,Florida,85107.0,South,2024-01-01
C-1015,Wes Byrne,Home Office,United States,Phoenix,Arizona,75100.0,West,2024-01-01
C-1016,Adrian Reyes,Corporate,United States,Tampa,Florida,72141.0,South,2024-01-01
C-1017,Xena Farouk,Home Office,United States,Chicago,Illinois,85752.0,Central,2024-01-01
C-1018,Wes Ahmadi,Home Office,United States,Monroe,Louisiana,55482.0,South,2024-01-01
C-1019,Liam Haidari,Home Office,United States,Minneapolis,Minnesota,25347.0,Central,2024-01-01
C-1020,Grace Farouk,Consumer,United States,Tampa,Florida,42455.0,South,2024-01-01
C-1021,Dana Rao,Consumer,United States,Henderson,Kentucky,31805.0,South,2024-01-01
C-1022,Rosa Silva,Consumer,United States,Henderson,Kentucky,66429.0,South,2024-01-01
C-1023,Liam Ahmadi,Consumer,United States,Reno,Nevada,29781.0,West,2024-01-01
C-1024,Elena Tanaka,Home Office,United States,Green Bay,Wisconsin,40583.0,Central,2024-01-01
C-1025,Adrian Okafor,Consumer,United States,Minneapolis,Minnesota,44438.0,Central,2024-01-01
C-1026,Elena Clark,Home Office,United States,Oakland,California,58398.0,West,2024-01-01
C-1027,Wes Sullivan,Home Office,United States,Seattle,Washington,95847.0,West,2024-01-01
C-1028,Carlos Diaz,Corporate,United States,Minneapolis,Minnesota,62175.0,Central,2024-01-01
C-1029,David Rao,Home Office,United States,Henderson,Kentucky,62486.0,South,2024-01-01
C-1030,Carla Liu,Corporate,United States,Green Bay,Wisconsin,31273.0,Central,2024-01-01
C-1031,Tara Ortiz,Consumer,United States,Columbus,Ohio,10030.0,Central,2024-01-01
C-1032,Liam Lindqvist,Consumer,United States,New York City,New York,19216.0,East,2024-01-01
C-1033,Elena Silva,Corporate,United States,Newark,New Jersey,88941.0,East,2024-01-01
C-1034,David Kim,Corporate,United States,Reno,Nevada,71078.0,West,2024-01-01
C-1035,Jamal Reyes,Consumer,United States,Henderson,Kentucky,23393.0,South,2024-01-01
C-1036,Priya Haidari,Home Office,United States,Phoenix,Arizona,13027.0,West,2024-01-01
C-1037,Elena Diaz,Consumer,United States,Fairfield,Connecticut,,East,2024-01-01
C-1038,Wes Silva,Home Office,United States,Oakland,California,58064.0,West,2024-01-01
C-1039,Yusuf Tanaka,Home Office,United States,Fairfield,Connecticut,80984.0,East,2024-01-01
C-1040,Tara Liu,,United States,Seattle,Washington,62518.0,West,2024-01-01
C-1041,Quinn Rao,Corporate,United States,Philadelphia,Pennsylvania,13798.0,East,2024-01-01
C-1042,Priya Silva,Consumer,United States,Columbus,Ohio,89316.0,Central,2024-01-01
C-1043,Zoe Byrne,Corporate,United States,Reno,Nevada,20556.0,West,2024-01-01
C-1044,Hiro Rao,Consumer,United States,New York City,New York,54267.0,East,2024-01-01
C-1045,Tara Lindqvist,Consumer,United States,Newark,New Jersey,72845.0,East,2024-01-01
C-1046,Adrian Kim,Corporate,United States,Oakland,California,36125.0,West,2024-01-01
C-1047,Noah Novak,Consumer,United States,Atlanta,Georgia,61883.0,South,2024-01-01
C-1048,Xena Reyes,Home Office,United States,Henderson,Kentucky,30821.0,South,2024-01-01
C-1049,Alice Popov,Home Office,United States,Philadelphia,Pennsylvania,70994.0,East,2024-01-01
C-1050,Vera Byrne,Consumer,United States,Newark,New Jersey,81913.0,East,2024-01-01
C-1051,Alice Kim,Home Office,United States,New York City,New York,28251.0,East,2024-01-01
C-1052,Adrian Liu,Consumer,United States,Atlanta,Georgia,43008.0,South,2024-01-01
C-1053,Quinn Tanaka,Home Office,United States,Fairfield,Connecticut,52728.0,East,2024-01-01
C-1054,Adrian Popov,Consumer,United States,Reno,Nevada,56371.0,West,2024-01-01
C-1055,Adrian Sullivan,Consumer,United States,Henderson,Kentucky,79707.0,South,2024-01-01
C-1056,Bianca Petrov,Consumer,United States,New York City,New York,89764.0,East,2024-01-01
C-1057,Farid Popov,Corporate,United States,Green Bay,Wisconsin,91146.0,Central,2024-01-01
C-1058,Ben Novak,Home Office,United States,Houston,Texas,77941.0,Central,2024-01-01
C-1059,Carlos Diaz,Consumer,United States,Tampa,Florida,42570.0,South,2024-01-01
C-1060,Ben Kim,Home Office,United States,Fairfield,Connecticut,69267.0,East,2024-01-01
C-1061,Olga Novak,Home Office,United States,Chicago,Illinois,76263.0,Central,2024-01-01
C-1062,Olga Sullivan,Home Office,United States,Fairfield,Connecticut,72657.0,East,2024-01-01
C-1063,Dana Diaz,Consumer,United States,Fairfield,Connecticut,68658.0,East,2024-01-01
C-1064,David Ahmadi,Corporate,United States,Newark,New Jersey,51416.0,East,2024-01-01
C-1065,Noah Reyes,Consumer,United States,Green Bay,Wisconsin,97749.0,Central,2024-01-01
C-1066,Carlos Popov,,United States,Oakland,California,94339.0,West,2024-01-01
C-1067,Ines Popov,Corporate,United States,Seattle,Washington,38781.0,West,2024-01-01
C-1068,Carlos Rao,Consumer,United States,Minneapolis,Minnesota,97534.0,Central,2024-01-01
C-1069,Wes Clark,Home Office,United States,Philadelphia,Pennsylvania,62928.0,East,2024-01-01
C-1070,Grace Byrne,Corporate,United States,Reno,Nevada,22084.0,West,2024-01-01
C-1071,Karin Diaz,Corporate,United States,Oakland,California,67731.0,West,2024-01-01
C-1072,Karin Sullivan,Home Office,United States,Minneapolis,Minnesota,48725.0,Central,2024-01-01
C-1073,Dana Tanaka,Consumer,United States,Chicago,Illinois,21018.0,Central,2024-01-01
C-1074,Ben Haidari,Corporate,United States,Phoenix,Arizona,26981.0,West,2024-01-01
C-1075,Mona Popov,Home Office,United States,Monroe,Louisiana,77473.0,South,2024-01-01
C-1076,Carla Silva,Consumer,United States,Monroe,Louisiana,34031.0,South,2024-01-01
C-1077,Ines Nguyen,Home Office,United States,Tampa,Florida,21608.0,South,2024-01-01
C-1078,Tara Tanaka,Consumer,United States,Oakland,California,44662.0,West,2024-01-01
C-1079,Alice Novak,Home Office,United States,Minneapolis,Minnesota,64756.0,Central,2024-01-01
C-1080,Ben Sullivan,Home Office,United States,Seattle,Washington,41252.0,West,2024-01-01
C-1081,Ines Ortiz,Consumer,United States,Green Bay,Wisconsin,36446.0,Central,2024-01-01
C-1082,Quinn Liu,Corporate,United States,Phoenix,Arizona,68417.0,West,2024-01-01
